CODIGO DA CONTA,DESCRICAO DA CONTA,DATA,VALOR
6.01.01,CAIXA GERADO NAS OPERACOES,2015-03-31 00:00:00,493021.0
6.01.01,CAIXA GERADO NAS OPERACOES,2015-06-30 00:00:00,1035447.0
6.01.01,CAIXA GERADO NAS OPERACOES,2015-09-30 00:00:00,1566026.0
6.01.01,CAIXA GERADO NAS OPERACOES,2015-12-31 00:00:00,2140082.0
6.01.01,CAIXA GERADO NAS OPERACOES,2016-03-31 00:00:00,495691.0
6.01.01,CAIXA GERADO NAS OPERACOES,2016-06-30 00:00:00,968638.0
6.01.01,CAIXA GERADO NAS OPERACOES,2016-09-30 00:00:00,1508069.0
6.01.01,CAIXA GERADO NAS OPERACOES,2016-12-31 00:00:00,1915140.0
6.01.01,CAIXA GERADO NAS OPERACOES,2017-03-31 00:00:00,489162.0
6.01.01,CAIXA GERADO NAS OPERACOES,2017-06-30 00:00:00,1006822.0
6.01.01,CAIXA GERADO NAS OPERACOES,2017-09-30 00:00:00,1566294.0
6.01.01,CAIXA GERADO NAS OPERACOES,2017-12-31 00:00:00,1846807.0
6.01.01,CAIXA GERADO NAS OPERACOES,2018-03-31 00:00:00,532175.0
6.01.01,CAIXA GERADO NAS OPERACOES,2018-06-30 00:00:00,1012192.0
6.01.01,CAIXA GERADO NAS OPERACOES,2018-09-30 00:00:00,1565653.0
6.01.01,CAIXA GERADO NAS OPERACOES,2018-12-31 00:00:00,2058264.0
6.01.01,CAIXA GERADO NAS OPERACOES,2019-03-31 00:00:00,445763.0
6.01.01,CAIXA GERADO NAS OPERACOES,2019-06-30 00:00:00,1041195.0
6.01.01,CAIXA GERADO NAS OPERACOES,2019-09-30 00:00:00,1706773.0
6.01.01,CAIXA GERADO NAS OPERACOES,2019-12-31 00:00:00,2495657.0
6.01.01,CAIXA GERADO NAS OPERACOES,2020-03-31 00:00:00,748825.0
6.01.01,CAIXA GERADO NAS OPERACOES,2020-06-30 00:00:00,1588165.0
6.01.01,CAIXA GERADO NAS OPERACOES,2020-09-30 00:00:00,2662655.0
6.01.01,CAIXA GERADO NAS OPERACOES,2020-12-31 00:00:00,3800156.0
6.01.01,CAIXA GERADO NAS OPERACOES,2021-03-31 00:00:00,1212713.0
6.01.01,CAIXA GERADO NAS OPERACOES,2021-06-30 00:00:00,2389345.0
6.01.01,CAIXA GERADO NAS OPERACOES,2021-09-30 00:00:00,3664968.0
6.01.01,CAIXA GERADO NAS OPERACOES,2021-12-31 00:00:00,5052412.0
6.01.01,CAIXA GERADO NAS OPERACOES,2022-03-31 00:00:00,1678778.0
6.01.01,CAIXA GERADO NAS OPERACOES,2022-06-30 00:00:00,3192487.0
6.01.01,CAIXA GERADO NAS OPERACOES,2022-09-30 00:00:00,5004378.0
6.01.01,CAIXA GERADO NAS OPERACOES,2022-12-31 00:00:00,6891708.0
6.01.01,CAIXA GERADO NAS OPERACOES,2023-03-31 00:00:00,2031939.0
6.01.01,CAIXA GERADO NAS OPERACOES,2023-06-30 00:00:00,4194320.0
6.01.01,CAIXA GERADO NAS OPERACOES,2023-09-30 00:00:00,6186948.0
6.01.01,CAIXA GERADO NAS OPERACOES,2023-12-31 00:00:00,8363730.0
6.01.01,CAIXA GERADO NAS OPERACOES,2024-03-31 00:00:00,2058343.0
6.01.01,CAIXA GERADO NAS OPERACOES,2024-03-31 00:00:00.1,2058343.0
6.01.01,CAIXA GERADO NAS OPERACOES,2024-06-30 00:00:00,4468014.0
6.01.01,CAIXA GERADO NAS OPERACOES,2024-09-30 00:00:00,6936003.0
6.01.01,CAIXA GERADO NAS OPERACOES,2024-12-31 00:00:00,9562310.0
6.01.01,CAIXA GERADO NAS OPERACOES,2025-03-31 00:00:00,2707800.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2010-03-31 00:00:00,158199.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2010-06-30 00:00:00,316031.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2010-09-30 00:00:00,522822.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2010-12-31 00:00:00,729965.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2011-03-31 00:00:00,161883.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2011-06-30 00:00:00,368666.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2011-09-30 00:00:00,554075.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2011-12-31 00:00:00,766126.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2012-03-31 00:00:00,194563.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2012-06-30 00:00:00,382896.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2012-09-30 00:00:00,625627.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2012-12-31 00:00:00,864102.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2013-03-31 00:00:00,221413.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2013-06-30 00:00:00,477866.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2013-09-30 00:00:00,775591.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2013-12-31 00:00:00,1084879.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2014-03-31 00:00:00,269317.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2014-06-30 00:00:00,552905.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2014-09-30 00:00:00,881586.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2014-12-31 00:00:00,1227929.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2015-03-31 00:00:00,315741.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2015-06-30 00:00:00,643850.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2015-09-30 00:00:00,927824.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2015-12-31 00:00:00,1303728.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2016-03-31 00:00:00,317618.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2016-06-30 00:00:00,600389.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2016-09-30 00:00:00,920499.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2016-12-31 00:00:00,1279514.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2017-03-31 00:00:00,290017.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2017-06-30 00:00:00,600180.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2017-09-30 00:00:00,943257.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2017-12-31 00:00:00,1240448.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2018-03-31 00:00:00,334233.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2018-06-30 00:00:00,716472.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2018-09-30 00:00:00,1133800.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2018-12-31 00:00:00,1497542.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2019-03-31 00:00:00,331094.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2019-06-30 00:00:00,764806.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2019-09-30 00:00:00,1227387.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2019-12-31 00:00:00,1804451.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2020-03-31 00:00:00,518185.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2020-06-30 00:00:00,1091486.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2020-09-30 00:00:00,1876990.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2020-12-31 00:00:00,2746649.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2021-03-31 00:00:00,903717.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2021-06-30 00:00:00,2309595.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2021-09-30 00:00:00,3327361.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2021-12-31 00:00:00,4330036.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2022-03-31 00:00:00,1152852.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2022-06-30 00:00:00,2269850.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2022-09-30 00:00:00,3713870.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2022-12-31 00:00:00,5115642.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2023-03-31 00:00:00,1606701.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2023-06-30 00:00:00,3323856.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2023-09-30 00:00:00,4938445.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2023-12-31 00:00:00,6590797.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2024-03-31 00:00:00,1675799.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2024-03-31 00:00:00.1,1675799.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2024-06-30 00:00:00,3632370.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2024-09-30 00:00:00,5709659.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2024-12-31 00:00:00,7908508.0
6.01.01.01,LUCRO ANTES DOS IMPOSTOS,2025-03-31 00:00:00,1983490.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2010-03-31 00:00:00,44147.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2010-06-30 00:00:00,88997.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2010-09-30 00:00:00,135920.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2010-12-31 00:00:00,183990.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2011-03-31 00:00:00,47499.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2011-06-30 00:00:00,93239.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2011-09-30 00:00:00,139393.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2011-12-31 00:00:00,188030.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2012-03-31 00:00:00,49573.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2012-06-30 00:00:00,101731.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2012-09-30 00:00:00,154365.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2012-12-31 00:00:00,208337.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2013-03-31 00:00:00,52136.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2013-06-30 00:00:00,105747.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2013-09-30 00:00:00,161504.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2013-12-31 00:00:00,218279.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2014-03-31 00:00:00,58805.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2014-06-30 00:00:00,119066.0
